combo,weight,ev
AsKsQhQd,1,0.79
AsKsQhQc,1,0.79
AsKsQdQc,1,0.79
AhKhQdQc,1,0.79
AhKhQsQd,1,0.79
AhKhQsQc,1,0.79
AdKdQhQc,1,0.79
AdKdQsQc,1,0.79
AdKdQsQh,1,0.79
AcKcQsQh,1,0.79
AcKcQsQd,1,0.79
AcKcQhQd,1,0.79
AsKsQhJd,1,0.48
AsKsQhJc,1,0.48
AsKsQdJc,1,0.48
AsKsQdJh,1,0.48
AsKsQcJh,1,0.48
AsKsQcJd,1,0.48
AhKhQdJc,1,0.48
AhKhQdJs,1,0.48
AhKhQcJd,1,0.48
AhKhQcJs,1,0.48
AhKhQsJc,1,0.48
AhKhQsJd,1,0.48
AdKdQcJh,1,0.48
AdKdQcJs,1,0.48
AdKdQsJc,1,0.48
AdKdQsJh,1,0.48
AdKdQhJc,1,0.48
AdKdQhJs,1,0.48
AcKcQsJh,1,0.48
AcKcQsJd,1,0.48
AcKcQhJd,1,0.48
AcKcQhJs,1,0.48
AcKcQdJs,1,0.48
AcKcQdJh,1,0.48
AsKsQhTd,1,0.46
AsKsQhTc,1,0.46
AsKsQdTc,1,0.46
AsKsQdTh,1,0.46
AsKsQcTh,1,0.46
AsKsQcTd,1,0.46
AhKhQdTc,1,0.46
AhKhQdTs,1,0.46
AhKhQcTd,1,0.46
AhKhQcTs,1,0.46
AhKhQsTc,1,0.46
AhKhQsTd,1,0.46
AdKdQcTh,1,0.46
AdKdQcTs,1,0.46
AdKdQsTc,1,0.46
AdKdQsTh,1,0.46
AdKdQhTc,1,0.46
AdKdQhTs,1,0.46
AcKcQsTh,1,0.46
AcKcQsTd,1,0.46
AcKcQhTd,1,0.46
AcKcQhTs,1,0.46
AcKcQdTs,1,0.46
AcKcQdTh,1,0.46
AsKsQh9d,1,0.12
AsKsQh9c,1,0.12
AsKsQd9c,1,0.12
AsKsQd9h,1,0.12
AsKsQc9h,1,0.12
AsKsQc9d,1,0.12
AhKhQd9c,1,0.12
AhKhQd9s,1,0.12
AhKhQc9d,1,0.12
AhKhQc9s,1,0.12
AhKhQs9c,1,0.12
AhKhQs9d,1,0.12
AdKdQc9h,1,0.12
AdKdQc9s,1,0.12
AdKdQs9c,1,0.12
AdKdQs9h,1,0.12
AdKdQh9c,1,0.12
